delta,direction,weakest_direction,normal_width,sigma_r_width_over_delta,maximum_width_at_delta,mean_weakest_width_at_delta
0.0003,15,0,0.00016810850017081978,0.20205271164083308,0.0008326660006372549,0.0008319065468669578
0.0003,16,0,0.0001958374152169199,0.23538060684083642,0.0008326660006372549,0.0008319065468669578
0.0003,17,0,0.0003657082954214275,0.4395515555986888,0.0008326660006372549,0.0008319065468669578
0.0003,18,0,0.00019336565875291856,0.2324097570886838,0.0008326660006372549,0.0008319065468669578
0.0003,19,0,0.00024952266917589434,0.29990590524344757,0.0008326660006372549,0.0008319065468669578
0.001,0,1,0.002764767679713259,0.9969076034383028,0.002781651592296839,0.0027732096360050494
0.001,1,1,0.002781651592296839,1.0029955293620116,0.002781651592296839,0.0027732096360050494
0.001,2,0,0.0006050273449309318,0.21815806256541936,0.002781651592296839,0.0027732096360050494
0.001,3,0,0.0009101436773944442,0.32817554938645715,0.002781651592296839,0.0027732096360050494
0.001,4,0,0.0009424397750753997,0.33982073229848747,0.002781651592296839,0.0027732096360050494
0.001,5,0,0.0006666749133091798,0.24038666792011304,0.002781651592296839,0.0027732096360050494
0.001,6,0,0.0008297922617002769,0.2992027941563125,0.002781651592296839,0.0027732096360050494
0.001,7,0,0.0008934739731466832,0.32216486174944586,0.002781651592296839,0.0027732096360050494
0.001,8,0,0.0016252880053325503,0.5860391027361596,0.002781651592296839,0.0027732096360050494
0.001,9,0,0.0006310867170923303,0.22755443479558846,0.002781651592296839,0.0027732096360050494
0.001,10,0,0.0009368722628623801,0.3378132235670593,0.002781651592296839,0.0027732096360050494
0.001,11,0,0.0005022660803133477,0.18110486392312705,0.002781651592296839,0.0027732096360050494
0.001,12,0,0.0008887704538046819,0.320468887715401,0.002781651592296839,0.0027732096360050494
0.001,13,0,0.0006467008017734767,0.23318449183567172,0.002781651592296839,0.0027732096360050494
0.001,14,0,0.0006514617214033933,0.23490116300961816,0.002781651592296839,0.0027732096360050494
0.001,15,0,0.000789537768918308,0.2846880086206761,0.002781651592296839,0.0027732096360050494
0.001,16,0,0.0006921195891609385,0.24956139569553035,0.002781651592296839,0.0027732096360050494
0.001,17,0,0.0008152225661269767,0.2939493182844046,0.002781651592296839,0.0027732096360050494
0.001,18,0,0.0007610467026988773,0.27441482698859027,0.002781651592296839,0.0027732096360050494
0.001,19,0,0.0009049617080945608,0.326307057999733,0.002781651592296839,0.0027732096360050494
