cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank2_best,48,1,converged,2,0.00032837284391237716,6.89453049088267e-09,0.011292237071031589,0.00016533304253414012
rank2_best,49,1,converged,2,3.991940053256575e-05,9.546092581350807e-09,0.01063918332064477,1.8052397720719063e-05
rank2_best,50,1,converged,2,0.0002443916526416503,1.888283272253472e-09,0.009690760775067205,0.00012346519367556372
rank2_best,51,1,converged,4,0.0006690850900259288,2.289102756657377e-09,0.011557983340722316,0.0003206093419436044
rank2_best,52,1,converged,3,0.0003544401716560763,1.2493626775544673e-08,0.0102517228951098,0.00016902916036954963
rank2_best,53,1,converged,2,6.498474997303783e-05,6.218367297406145e-09,0.010186500095007782,3.0574551556791046e-05
rank2_best,54,1,converged,2,0.00016678043046206755,8.26923103474799e-10,0.009305519841270631,7.978097659252031e-05
rank2_best,55,1,converged,2,8.993902242742333e-05,1.7441963178999811e-09,0.010507446312809678,4.596906121540204e-05
rank2_best,56,1,converged,3,0.00016170319517310085,4.5262609204525077e-10,0.010339769454392786,7.212161043318854e-05
rank2_best,57,1,converged,2,3.908635215341518e-05,1.449484039740718e-09,0.006463143259916717,1.7718210012285366e-05
rank2_best,58,1,converged,2,9.111130327485217e-05,2.8980249255662295e-10,0.010548697259738967,4.1241058536509665e-05
rank2_best,59,1,converged,2,0.0002952777873659314,4.84634027254226e-09,0.011205458209324776,0.00013544339448006866
rank2_best,60,1,converged,2,0.00015364863901490532,5.161854697159162e-11,0.007973348040799823,7.454794398183872e-05
rank2_best,61,1,converged,2,0.00042117146517447676,1.828280432382485e-08,0.01122149314750786,0.0002099123163520973
rank2_best,62,1,converged,2,0.00035517980642983785,5.2989984215677695e-09,0.009940713216689477,0.00017257582898747058
rank2_best,63,1,converged,2,8.98642546121265e-05,1.5958532320845234e-11,0.008067880472348066,4.418968976583376e-05
rank2_best,64,1,converged,2,0.00024153113314063796,8.698714732380298e-09,0.00816303988332796,0.00011750505877461497
rank2_best,65,1,converged,3,0.0002056516150258073,5.462731819760952e-10,0.010638859925233989,9.758128950177363e-05
rank2_best,66,1,converged,2,0.00022693858764512425,2.7328746034898354e-09,0.009686953010423357,0.00011204856270296389
rank2_best,67,1,converged,2,0.00020488040516710858,1.6071417387505592e-09,0.010182079476728051,9.261491985322956e-05
rank2_best,68,1,converged,2,7.519761946904959e-05,6.856809789486854e-09,0.011163462316296592,3.4730113622470076e-05
rank2_best,69,1,converged,2,0.00019585805134899941,1.6192074769352265e-09,0.01122630215111078,9.688186143854072e-05
rank2_best,70,1,converged,3,0.00025474251177217745,2.5905117656841663e-09,0.008962181607574735,0.0001321525177160643
rank2_best,71,1,converged,3,4.937178995225101e-05,7.057569691044007e-10,0.011375471721067483,2.5225076367454308e-05
rank2_best,72,1,converged,2,0.0001263923789934667,1.600463978087605e-08,0.011445579506802226,5.840729243532889e-05
rank2_best,73,1,converged,2,4.107223211992835e-05,1.7869170014971256e-10,0.0040331496501512356,1.9275507045364484e-05
rank2_best,74,1,converged,2,1.7382949477260982e-05,1.0326002954204041e-09,0.005481252455162175,8.679569961524028e-06
rank2_best,75,1,converged,2,0.00026729518576327013,1.221774189692609e-08,0.011872484112616053,0.0001396426939464409
rank2_best,76,1,converged,2,0.0003699446125058031,1.7901421330655128e-08,0.011254371712788673,0.00017913559276790014
rank2_best,77,1,converged,2,0.00011783791272686656,5.893721958951506e-10,0.007042279041472549,5.7968385695262124e-05
rank2_best,78,1,converged,2,0.00019709212835593935,5.706388615120515e-09,0.0099888384960864,9.050119958883505e-05
rank2_best,79,1,converged,3,0.0002614562957880526,2.09349352561852e-09,0.011693114922251653,0.0001216026679543515
rank2_best,80,1,converged,2,0.00012114178856620762,3.9709916539477904e-10,0.0083725372598687,5.788682215829073e-05
rank2_best,81,1,converged,2,5.5494573068200276e-05,1.1313300409289e-09,0.010630272269936892,3.023550073202323e-05
rank2_best,82,1,converged,2,0.0003489458387035524,7.050724734096261e-09,0.011221641971312405,0.00017761563716760126
rank2_best,83,1,converged,2,0.0002859637323124799,7.185468971644947e-09,0.009808185348587283,0.00013875205705671828
rank2_best,84,1,converged,3,0.00018327370926830497,3.3663862347418834e-10,0.01042989146612802,8.301470510421043e-05
rank2_best,85,1,converged,2,0.00023513594842572056,1.7751693659315747e-09,0.010876646816813712,0.00011005206491261135
rank2_best,86,1,converged,2,0.0003083039174258492,2.4048923017463345e-09,0.0105695368095489,0.00015154144059325957
rank2_best,87,1,converged,2,0.000436184892024954,3.6428588566716575e-09,0.011929786473530173,0.00020612579951631495
rank2_best,88,1,converged,2,0.0002443718501379404,1.5944018294151472e-09,0.011490410027331357,0.00011877903236395003
rank2_best,89,1,converged,2,0.0003049202288097465,6.837671287419688e-09,0.01153487060331176,0.00013882547172729088
rank2_best,90,1,converged,2,0.0004077975305694357,4.255608762060242e-09,0.011817572815043788,0.00018927467925518434
rank2_best,91,1,converged,2,7.673737299577231e-05,9.77526797148134e-11,0.006607704978759269,3.63943122594689e-05
rank2_best,92,1,converged,2,0.0003051680869980947,1.5525136324369894e-09,0.011859357302886425,0.00014373187916935236
rank2_best,93,1,converged,2,0.00016008921185691442,4.096577706114083e-10,0.011740731572559868,8.087483131050177e-05
rank2_best,94,1,converged,2,6.979277046765777e-05,1.1194529335893206e-09,0.005556938257799236,3.336981932509665e-05
rank2_best,95,1,converged,3,0.00014217160413009696,4.0183727269156973e-10,0.010191170153551385,6.815979226181135e-05
rank2_best,96,1,converged,2,0.00022137005537085412,1.1303128724075308e-09,0.011840323237537363,0.00010212249062757213
rank2_best,97,1,converged,2,0.0002379159000291409,1.1317830242660711e-09,0.010660829138928588,0.0001113519830925228
rank2_best,98,1,converged,2,3.4191133545204136e-05,8.240812985244444e-11,0.011692010303742976,1.5433023339959214e-05
rank2_best,99,1,converged,3,0.00012626301316775556,7.449297121371446e-10,0.011175192295771528,5.7362701697865344e-05
rank2_best,100,1,converged,2,0.00010126226740356349,7.887415139933544e-10,0.005349445154716257,5.036056574552443e-05
rank2_best,101,1,converged,2,0.0001384359682934973,4.9916847423646495e-09,0.010616737156406476,6.607416444097346e-05
rank2_best,102,1,converged,2,4.8569499801263434e-05,5.189864595909672e-10,0.011866173371993131,2.393117570455765e-05
rank2_best,103,1,converged,2,6.484696281531318e-05,3.5956294847893263e-10,0.011165228958895369,3.23406983258754e-05
rank2_best,104,1,converged,2,0.00042627923111576965,1.2904952407190585e-08,0.010568554902550101,0.00021198006076070106
rank2_best,105,1,converged,3,0.0001392644903485027,3.5799562023774855e-10,0.011754189097254716,6.47702170401838e-05
rank2_best,106,1,converged,2,3.214603082025941e-05,1.437248466592449e-09,0.008747148261834089,1.6593299156504258e-05
rank2_best,107,1,converged,3,0.0001613885333446978,3.1334877544225044e-09,0.011509517006970877,7.418946699814883e-05
rank2_best,108,1,converged,2,0.0001429162976826712,5.72960305254341e-10,0.008671412209093073,7.064183911082307e-05
rank2_best,109,1,converged,2,0.00012945014667813107,3.589791001723436e-09,0.010184961347127363,5.952009126363086e-05
rank2_best,110,1,converged,2,0.0002706770412549259,7.462466767230212e-09,0.011082307633327411,0.00013413291968579206
rank2_best,111,1,converged,2,0.000196934915819793,9.554414303635171e-09,0.010166640447687385,9.008225726594041e-05
rank2_best,112,1,converged,2,0.00011511913049202012,4.256103486278369e-09,0.0077379162383919495,5.6095529698597204e-05
rank2_best,113,1,converged,3,6.24615338483966e-05,7.977212096839097e-10,0.011852969085332376,3.1076932490123555e-05
rank2_best,114,1,converged,2,0.00033887451481983685,1.917357301839463e-09,0.010559626637057605,0.00016172879647370682
rank2_best,115,1,converged,2,0.00025721313007493103,1.291822516257247e-09,0.01196477473631414,0.00012633033976960334
rank2_best,116,1,converged,2,5.343754985447858e-05,1.7522978994880504e-10,0.009170275286148225,2.455065895399262e-05
rank2_best,117,1,converged,2,0.0003060515341142281,1.0710714613126674e-08,0.010329412593929445,0.00014609313926571308
rank2_best,118,1,converged,2,6.66051990949272e-05,3.4949614328603945e-10,0.006513279678422369,3.176822796864179e-05
